"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 23:42:20 GMT 2024","Mon Sep 16 23:42:21 GMT 2024","749","","Get the list of active resources","","Retrieve and update active resources","","Retrieve and update active resources",""
"passed","Mon Sep 16 23:42:16 GMT 2024","Mon Sep 16 23:42:20 GMT 2024","3936","","Update phone number of a specific client","","Change the phone number of the first client named Laura","","Change the phone number of the first client named Laura",""
"passed","Mon Sep 16 23:42:21 GMT 2024","Mon Sep 16 23:42:21 GMT 2024","252","","Update the last created resource","","Update the last created resource","","Update the last created resource",""
"passed","Mon Sep 16 23:42:21 GMT 2024","Mon Sep 16 23:42:21 GMT 2024","193","","Update and delete a new client","","Create, update, and delete a new client","","Create, update, and delete a new client",""
